county,constituency,ward,no_of_polling_station,no_of_registered_voters
KITUI,MWINGI CENTRAL,KIVOU,35,12301
EMBU,RUNYENJES,KYENI SOUTH,35,17255
KIAMBU,LARI,LARI/KIRENGA,35,18979
NAKURU,NAKURU TOWN WEST,LONDON,35,22421
KILIFI,MAGARINI,MAGARINI,35,17099
NYAMIRA,KITUTU MASABA,MANGA,35,19212
MAKUENI,MAKUENI,MBITINI,35,13770
NAROK,NAROK NORTH,MELILI,35,15475
KITUI,KITUI CENTRAL,MIAMBANI,35,11759
NYERI,KIENI,MUGUNDA,35,16080
NYERI,KIENI,NAROMORU KIAMATHAGA,35,17731
MAKUENI,KIBWEZI WEST,NGUUMO,35,14185
UASIN GISHU,KESSES,RACECOURSE,35,20872
KISII,BONCHARI,RIANA,35,18356
SIAYA,UGUNJA,SIGOMERE,35,18052
BOMET,CHEPALUNGU,SIGOR,35,15849
BOMET,CHEPALUNGU,SIONGIROI,35,15018
WEST POKOT,KACHELIBA,SUAM,35,8262
NYERI,KIENI,THEGU RIVER,35,16778
KITUI,KITUI EAST,VOO/KYAMATU,35,10003
KERICHO,BELGUT,WALDAI,35,20119
NYANDARUA,KIPIPIRI,WANJOHI,35,17474
KISUMU,NYANDO,AHERO,36,18131
MERU,IGEMBE NORTH,ANTUAMBUI,36,17113
KISII,BOMACHOGE CHACHE,BOOCHI/TENDERE,36,17987
KISII,BOMACHOGE CHACHE,BOSOTI/SENGERA,36,18298
BUSIA,MATAYOS,BUKHAYO WEST,36,17548
TANA RIVER,GALOLE,CHEWANI,36,14333
SIAYA,UGENYA,EAST UGENYA,36,18197
KILIFI,GANZE,GANZE,36,16586
KIAMBU,GITHUNGURI,GITHIGA,36,20616
HOMA BAY,SUBA SOUTH,GWASSI NORTH,36,15405
EMBU,RUNYENJES,KAGAARI NORTH,36,17286
KITUI,KITUI RURAL,KANYANGI,36,11092
KIRINYAGA,NDIA,KARITI,36,19813
KIRINYAGA,GICHUGU,KARUMANDI,36,18311
KWALE,KINANGO,KASEMENI,36,14445
MAKUENI,MAKUENI,KATHONZWENI,36,14661
TURKANA,TURKANA SOUTH,KATILU,36,13254
KIAMBU,LARI,KIJABE,36,19124
MAKUENI,KAITI,KILUNGU,36,16858
BUNGOMA,KIMILILI,KIMILILI,36,18975
KISUMU,KISUMU CENTRAL,KONDELE,36,23019
NAKURU,NAIVASHA,LAKE VIEW,36,21194
TURKANA,TURKANA NORTH,LAKE ZONE,36,10896
HOMA BAY,SUBA NORTH,LAMBWE,36,12968
NYERI,OTHAYA,MAHIGA,36,15138
MACHAKOS,MWALA,MAKUTANO/ MWALA,36,17815
BUNGOMA,KANDUYI,MARAKARU/TUUTI,36,16191
MARSABIT,SAKU,MARSABIT CENTRAL,36,16459
NAKURU,NJORO,MAUCHE,36,17605
EMBU,MANYATTA,MBETI NORTH,36,17844
TAITA TAVETA,VOI,MBOLOLO,36,15880
LAIKIPIA,LAIKIPIA NORTH,MUGOGODO EAST,36,11579
BUNGOMA,TONGAREN,NAITIRI/KABUYEFWE,36,16232
NANDI,NANDI HILLS,NANDI HILLS,36,18328
KIAMBU,KIAMBU,NDUMBERI,36,22095
KAJIADO,KAJIADO NORTH,NGONG,36,22738
MANDERA,MANDERA NORTH,RHAMU,36,15408
MIGORI,URIRI,SOUTH KANYAMKAGO,36,16057
MACHAKOS,MATUNGULU,TALA,36,18614
NAKURU,KURESOI SOUTH,TINET,36,17096
NAIROBI CITY,MAKADARA,VIWANDANI,36,24650
MAKUENI,MBOONI,WAIA-KAKO,36,13127
MAKUENI,MAKUENI,WOTE,36,19472
MOMBASA,NYALI,ZIWA LA NG'OMBE,36,23296
NYERI,TETU,AGUTHI-GAAKI,37,18310
MERU,TIGANIA WEST,AKITHII,37,16709
KISII,BOBASI,BASI BOGETAORIO,37,16319
SIAYA,ALEGO USONGA,CENTRAL ALEGO,37,18893
MOMBASA,CHANGAMWE,CHAANI,37,22873
BUSIA,TESO SOUTH,CHAKOL SOUTH,37,15351
KAJIADO,KAJIADO CENTRAL,DALALEKUTUK,37,17734
NAKURU,BAHATI,DUNDORI,37,15238
BUNGOMA,KABUCHAI,KABUCHAI/CHWELE,37,18288
HOMA BAY,RANGWE,KAGAN,37,16000
BUNGOMA,MT. ELGON,KAPTAMA,37,13714
KAJIADO,KAJIADO EAST,KAPUTIEI NORTH,37,21660
WEST POKOT,KACHELIBA,KASEI,37,7384
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE NORTH,37,25563
MURANG'A,KIGUMO,KINYONA,37,18701
NYERI,MATHIRA,KIRIMUKUYU,37,18171
WEST POKOT,KACHELIBA,KIWAWA,37,8658
HOMA BAY,RANGWE,KOCHIA,37,16982
KAKAMEGA,MATUNGU,KOYONZO,37,19476
KITUI,KITUI CENTRAL,KYANGWITHYA EAST,37,15401
KILIFI,KALOLENI,MARIAKANI,37,21332
MACHAKOS,YATTA,MATUU,37,16826
MAKUENI,MBOONI,MBOONI,37,16441
NAIROBI CITY,EMBAKASI EAST,MIHANGO,37,23569
BUNGOMA,WEBUYE EAST,MIHUU,37,17438
MOMBASA,NYALI,MKOMANI,37,24154
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MUGWE,37,15913
KITUI,MWINGI CENTRAL,MUI,37,11039
KIRINYAGA,MWEA,MURINDUKO,37,18935
KWALE,KINANGO,MWAVUMBO,37,16243
NAIROBI CITY,DAGORETTI SOUTH,NGANDO,37,24892
NAIROBI CITY,MATHARE,NGEI,37,24699
MAKUENI,KIBWEZI WEST,NGUU/MASUMBA,37,13747
MIGORI,NYATIKE,NORTH KADEM,37,15113
MERU,NORTH IMENTI,NTIMA WEST,37,19161
KIAMBU,KABETE,NYADHUNA,37,21701
MERU,NORTH IMENTI,NYAKI EAST,37,17329
MIGORI,SUNA WEST,RAGANA-ORUBA,37,20216
KILIFI,KILIFI NORTH,SOKONI,37,23955
KISUMU,NYAKACH,SOUTH EAST NYAKACH,37,17394
LAIKIPIA,LAIKIPIA EAST,THINGITHU,37,18893
MOMBASA,MVITA,TUDOR,37,22926
MACHAKOS,MWALA,WAMUNYU,37,14342
SIAYA,ALEGO USONGA,WEST ALEGO,37,19154
VIHIGA,EMUHAYA,WEST BUNYORE,37,16806
UASIN GISHU,SOY,ZIWA,37,17523
KISII,BOMACHOGE BORABU,BOKIMONGE,38,18795
KISII,SOUTH MUGIRANGO,BORABU / CHITAGO,38,17760
BOMET,CHEPALUNGU,CHEBUNYO,38,15982
NYAMIRA,KITUTU MASABA,GESIMA,38,19057
KWALE,MSAMBWENI,GOMBATO BONGWE,38,20551
HOMA BAY,HOMA BAY TOWN,HOMA BAY EAST,38,15650
MERU,SOUTH IMENTI,IGOJI EAST,38,18203
HOMA BAY,KABONDO KASIPUL,KABONDO EAST,38,17062
MOMBASA,NYALI,KADZANDANI,38,23108
KERICHO,SIGOWET/SOIN,KAPLELARTET,38,16262
NAIROBI CITY,EMBAKASI NORTH,KARIOBANGI NORTH,38,24500
KIAMBU,KIAMBAA,KARURI,38,23677
NYAMIRA,KITUTU MASABA,KEMERA,38,18264
KIAMBU,GATUNDU SOUTH,KIGANJO,38,19067
KIAMBU,RUIRU,KIUU,38,25920
KISUMU,KISUMU EAST,KOLWA CENTRAL,38,22306
HOMA BAY,NDHIWA,KWABWAI,38,16085
TURKANA,TURKANA CENTRAL,LODWAR TOWNSHIP,38,17273
NAROK,KILGORIS,LOLGORIAN,38,14434
MURANG'A,KIHARU,MBIRI,38,20473
MACHAKOS,MWALA,MBIUNI,38,16671
NAKURU,RONGAI,MENENGAI WEST,38,19389
KILIFI,KILIFI SOUTH,MTEPENI,38,23093
MURANG'A,KIHARU,MUGOIRI,38,19001
NYERI,MUKURWEINI,MUKURWE-INI CENTRAL,38,19130
KIRINYAGA,MWEA,MUTITHI,38,19226
EMBU,MBEERE SOUTH,MWEA,38,17232
KITUI,MWINGI WEST,NGUUTANI,38,15121
SIAYA,ALEGO USONGA,NORTH ALEGO,38,19005
KAJIADO,KAJIADO SOUTH,ROMBO,38,17467
WEST POKOT,SIGOR,SEKERR,38,9432
BOMET,BOMET CENTRAL,SILIBWET TOWNSHIP,38,17882
MIGORI,AWENDO,SOUTH SAKWA,38,17750
MAKUENI,KIBWEZI EAST,THANGE,38,17020
KWALE,MSAMBWENI,UKUNDA,38,24331
NAIROBI CITY,EMBAKASI EAST,UTAWALA,38,25707
NYANDARUA,OL JOROK,WERU,38,18548
SIAYA,UGENYA,WEST UGENYA,38,18973
KISUMU,NYANDO,AWASI/ONJIKO,39,18448
WEST POKOT,POKOT SOUTH,BATEI,39,13075
KISII,NYARIBARI CHACHE,BOBARACHO,39,19235
BOMET,KONOIN,BOITO,39,17019
KISUMU,KISUMU WEST,CENTRAL KISUMU,39,21829
KAJIADO,KAJIADO WEST,EWUASO OONKIDONG'I,39,16972
MURANG'A,KIHARU,GATURI,39,20100
MURANG'A,MATHIOYA,GITUGI,39,20421
HOMA BAY,NDHIWA,KANYAMWA KOSEWE,39,19486
KIRINYAGA,KIRINYAGA CENTRAL,KANYEKINI,39,21863
UASIN GISHU,AINABKOI,KAPSOYA,39,23578
NANDI,CHESUMEI,KAPTEL/KAMOIYWO,39,18935
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,KARINGANI,39,19043
MACHAKOS,YATTA,KATANGI,39,11698
KITUI,KITUI WEST,KAUWI,39,15767
KWALE,KINANGO,KINANGO,39,15597
KITUI,MWINGI WEST,KIOMO/KYETHANI,39,12360
MACHAKOS,YATTA,KITHIMANI,39,19497
KIAMBU,GITHUNGURI,KOMOTHAI,39,20054
NAKURU,BAHATI,LANET/UMOJA,39,19251
UASIN GISHU,KAPSERET,LANGAS,39,24763
TURKANA,TURKANA EAST,LOKORI/KOCHODIN,39,9922
KAKAMEGA,BUTERE,MARAMA CENTRAL,39,20328
KAJIADO,KAJIADO CENTRAL,MATAPATO SOUTH,39,16930
KISUMU,MUHORONI,MUHORONI/KORU,39,19388
BUNGOMA,KABUCHAI,MUKUYUNI,39,17369
BUNGOMA,WEBUYE EAST,NDIVISI,39,17755
LAIKIPIA,LAIKIPIA EAST,NGOBIT,39,17999
SIAYA,GEM,NORTH GEM,39,19321
NAKURU,RONGAI,SOIN,39,14523
WEST POKOT,POKOT SOUTH,TAPACH,39,11742
KIRINYAGA,MWEA,TEBERE,39,24491
MERU,SOUTH IMENTI,ABOGETA WEST,40,19074
BARINGO,BARINGO NORTH,BARTABWA,40,6383
NYANDARUA,NDARAGWA,CENTRAL,40,18113
BOMET,SOTIK,CHEMAGEL,40,18870
NAIROBI CITY,EMBAKASI NORTH,DANDORA AREA IV,40,27293
MOMBASA,NYALI,FRERE TOWN,40,24849
MAKUENI,KIBWEZI EAST,IVINGONI/NZAMBANI,40,15827
MOMBASA,JOMVU,JOMVU KUU,40,24243
KERICHO,BELGUT,KABIANGA,40,21052
NANDI,EMGWEN,KAPSABET,40,19374
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE CENTRAL,40,26855
NANDI,ALDAI,KEMELOI-MARABA,40,16371
MERU,IGEMBE SOUTH,KIEGOI/ANTUBOCHIU,40,16514
NAIROBI CITY,DAGORETTI NORTH,KILELESHWA,40,26343
KISUMU,NYANDO,KOBURA,40,21020
KAJIADO,KAJIADO SOUTH,KUKU,40,18515
MAKUENI,KIBWEZI EAST,MASONGALENI,40,14271
MOMBASA,MVITA,MJI WA KALE/MAKADARA,40,22341
KITUI,KITUI SOUTH,MUTHA,40,11039
KITUI,KITUI SOUTH,MUTOMO,40,12637
THARAKA - NITHI,MAARA,MWIMBI,40,15145
MIGORI,URIRI,NORTH KANYAMKAGO,40,16336
SIAYA,BONDO,NORTH SAKWA,40,21457
KAJIADO,KAJIADO NORTH,ONGATA RONGAI,40,27576
NAROK,NAROK WEST,SIANA,40,17882
KERICHO,SIGOWET/SOIN,SIGOWET,40,18986
LAIKIPIA,LAIKIPIA EAST,TIGITHI,40,18269
MOMBASA,MVITA,TONONOKA,40,23379
MURANG'A,KIHARU,TOWNSHIP,40,24462
KISUMU,SEME,WEST SEME,40,17896
MERU,SOUTH IMENTI,ABOGETA EAST,41,21169
NAKURU,BAHATI,BAHATI,41,20414
KILIFI,GANZE,BAMBA,41,18599
NYAMIRA,WEST MUGIRANGO,BOGICHORA,41,21267
TRANS NZOIA,ENDEBESS,CHEPCHOINA,41,19068
KERICHO,KIPKELION EAST,CHEPSEON,41,18219
KERICHO,KIPKELION WEST,CHILCHILA,41,17117
NAIROBI CITY,KAMUKUNJI,EASTLEIGH NORTH,41,27523
NAIROBI CITY,KAMUKUNJI,EASTLEIGH SOUTH,41,28019
KILIFI,MAGARINI,GONGONI,41,17685
NAROK,NAROK WEST,ILMOTIOK,41,19176
NYERI,OTHAYA,IRIA-INI,41,19309
MOMBASA,KISAUNI,JUNDA,41,25602
HOMA BAY,KABONDO KASIPUL,KABONDO WEST,41,16927
MIGORI,SUNA EAST,KAKRAO,41,16948
MACHAKOS,MACHAKOS TOWN,KALAMA,41,17173
MURANG'A,KIGUMO,KANGARI,41,22170
NYAMIRA,BORABU,KIABONYORU,41,22625
NAKURU,KURESOI NORTH,KIPTORORO,41,17603
MERU,BUURI,KISIMA,41,18075
KITUI,KITUI CENTRAL,KYANGWITHYA WEST,41,15931
MACHAKOS,MWALA,MASII,41,18523
KISUMU,MUHORONI,MASOGO/NYANG'OMA,41,18629
NAKURU,NJORO,MAU NAROK,41,22346
NAKURU,NAKURU TOWN EAST,MENENGAI,41,23804
MERU,TIGANIA EAST,MIKINDURI,41,18246
BOMET,KONOIN,MOGOGOSIEK,41,18069
BOMET,SOTIK,NDANAI/ABOSI,41,17049
EMBU,MBEERE NORTH,NTHAWA,41,18882
MERU,NORTH IMENTI,NYAKI WEST,41,21192
NYAMIRA,KITUTU MASABA,RIGOMA,41,19808
MOMBASA,KISAUNI,SHANZU,41,25510
SIAYA,GEM,SOUTH GEM,41,18560
UASIN GISHU,KESSES,TARAKWA,41,20213
UASIN GISHU,KESSES,TULWET/CHUIYAT,41,20134
KIAMBU,JUJA,WITEITHIE,41,25933
UASIN GISHU,AINABKOI,AINABKOI/OLARE,42,19105
NYAMIRA,WEST MUGIRANGO,BOSAMARO,42,20028
SIAYA,RARIEDA,EAST ASEMBO,42,21741
ELGEYO/MARAKWET,MARAKWET EAST,ENDO,42,14238
HOMA BAY,HOMA BAY TOWN,HOMA BAY CENTRAL,42,21119
NAIROBI CITY,KASARANI,KASARANI,42,27525
NAKURU,KURESOI SOUTH,KERINGET,42,20736
UASIN GISHU,MOIBEN,KIMUMU,42,25044
NAIROBI CITY,EMBAKASI SOUTH,KWA NJENGA,42,28554
NAKURU,NAIVASHA,MAI MAHIU,42,21934
BUNGOMA,SIRISIA,MALAKISI/SOUTH KULISIRU,42,17728
KAJIADO,KAJIADO CENTRAL,MATAPATO NORTH,42,16776
TRANS NZOIA,SABOTI,MATISI,42,26038
KITUI,MWINGI WEST,MIGWANI,42,14678
NAKURU,RONGAI,MOSOP,42,19670
THARAKA - NITHI,THARAKA,MUKOTHIMA,42,13297
MERU,NORTH IMENTI,MUNICIPALITY,42,23655
KITUI,MWINGI CENTRAL,NGUNI,42,13165
MAKUENI,MAKUENI,NZAUI/KILILI/KALAMBA,42,18381
KISUMU,KISUMU CENTRAL,RAILWAYS,42,25365
MURANG'A,KANDARA,RUCHU,42,21388
MERU,BUURI,TIMAU,42,22215
KITUI,KITUI CENTRAL,TOWNSHIP,42,19538
NAIROBI CITY,RUARAKA,UTALII,42,27599
SIAYA,RARIEDA,WEST ASEMBO,42,21599
SIAYA,BONDO,WEST SAKWA,42,21323
KITUI,KITUI EAST,ZOMBE/MWITIKA,42,13152
MERU,IGEMBE CENTRAL,ATHIRU RUUJINE,43,19920
NAKURU,MOLO,ELBURGON,43,24416
UASIN GISHU,AINABKOI,KAPTAGAT,43,19923
NAIROBI CITY,DAGORETTI NORTH,KAWANGWARE,43,28468
KIRINYAGA,KIRINYAGA CENTRAL,KERUGOYA,43,24745
BOMET,SOTIK,KIPSONOI,43,17736
KISII,NYARIBARI CHACHE,KISII CENTRAL,43,24550
KISII,KITUTU CHACHE SOUTH,KITUTU CENTRAL,43,24345
NAIROBI CITY,MAKADARA,MAKONGENI,43,28658
EMBU,MBEERE SOUTH,MBETI SOUTH,43,19083
MURANG'A,KANGEMA,MUGURU,43,23583
KIRINYAGA,NDIA,MUKURE,43,22087
NAIROBI CITY,KASARANI,MWIKI,43,27837
MACHAKOS,YATTA,NDALANI,43,16093
EMBU,MANYATTA,NGINDA,43,18342
NAIROBI CITY,KASARANI,NJIRU,43,28140
NANDI,TINDERET,SONGHOR/SOBA,43,19275
NYERI,TETU,WAMAGANA,43,22275
HOMA BAY,KARACHUONYO,WANGCHIENG,43,19362
KILIFI,MAGARINI,ADU,44,16263
MERU,IGEMBE NORTH,AMWATHI,44,19121
NAKURU,NAIVASHA,HELLS GATE,44,27303
MERU,IGEMBE CENTRAL,IGEMBE EAST,44,19964
BARINGO,BARINGO CENTRAL,KABARNET,44,15204
HOMA BAY,NDHIWA,KABUOCH NORTH,44,19358
WEST POKOT,KAPENGURIA,KAPENGURIA,44,12074
TURKANA,TURKANA CENTRAL,KERIO DELTA,44,10672
NAIROBI CITY,WESTLANDS,KITISURU,44,29237
MOMBASA,NYALI,KONGOWEA,44,28846
NAIROBI CITY,EMBAKASI SOUTH,KWARE,44,29812
KIAMBU,LIMURU,LIMURU CENTRAL,44,26587
WEST POKOT,SIGOR,LOMUT,44,12395
NAIROBI CITY,RUARAKA,MATHARE NORTH,44,29334
KITUI,KITUI CENTRAL,MULANGO,44,15135
MERU,TIGANIA EAST,MUTHARA,44,19902
KIAMBU,KIAMBAA,NDENDERU,44,28523
NAIROBI CITY,STAREHE,NGARA,44,27816
KISUMU,NYAKACH,NORTH NYAKACH,44,21438
BOMET,CHEPALUNGU,NYANGORES,44,19286
EMBU,MANYATTA,RUGURU/NGANDORI,44,18449
BARINGO,BARINGO NORTH,SAIMO/SOI,44,8284
KILIFI,MALINDI,SHELLA,44,26255
MAKUENI,MBOONI,TULIMANI,44,18803
NAIROBI CITY,EMBAKASI EAST,UPPER SAVANNAH,44,28928
KWALE,MATUGA,WAA,44,20681
NAKURU,SUBUKIA,WASEGES,44,15666
HOMA BAY,SUBA SOUTH,GWASSI SOUTH,45,18433
NAIROBI CITY,DAGORETTI NORTH,KABIRO,45,29090
MAKUENI,KILOME,KIIMA KIU/KALANZONI,45,21259
MURANG'A,MARAGWA,KIMORORI/WEMPA,45,26433
UASIN GISHU,TURBO,KIPLOMBE,45,26347
MURANG'A,MATHIOYA,KIRU,45,22212
NAIROBI CITY,EMBAKASI EAST,LOWER SAVANNAH,45,30104
NAIROBI CITY,KIBRA,MAKINA,45,28408
NAKURU,GILGIL,MBARUK/EBURU,45,21710
MACHAKOS,MAVOKO,MUTHWANI,45,24402
KWALE,LUNGALUNGA,MWERENI,45,15589
KWALE,LUNGALUNGA,PONGWE/KIKONENI,45,18833
SIAYA,ALEGO USONGA,SIAYA TOWNSHIP,45,26832
KILIFI,GANZE,SOKOKE,45,19290
MERU,TIGANIA EAST,THANGATHA,45,21025
NAIROBI CITY,KIBRA,WOODLEY/KENYATTA GOLF COURSE,45,28972
NAIROBI CITY,RUARAKA,BABA DOGO,46,29419
KIAMBU,GITHUNGURI,GITHUNGURI,46,27596
KISUMU,KISUMU EAST,KAJULU,46,26717
NAIROBI CITY,WESTLANDS,KARURA,46,29548
MERU,TIGANIA WEST,KIANJAI,46,21037
BUNGOMA,SIRISIA,LWANDANYI,46,17303
SAMBURU,SAMBURU WEST,MARALAL,46,17580
MAKUENI,KIBWEZI EAST,MTITO ANDEI,46,17622
KITUI,MWINGI CENTRAL,NUU,46,12729
LAIKIPIA,LAIKIPIA NORTH,SOSIAN,46,18167
NAKURU,SUBUKIA,SUBUKIA,46,19402
NAKURU,RONGAI,VISOI,46,20555
NAIROBI CITY,ROYSAMBU,ZIMMERMAN,46,30701
KAKAMEGA,KHWISERO,KISA CENTRAL,47,23081
KITUI,MWINGI WEST,KYOME/THAANA,47,14979
MACHAKOS,MASINGA,MASINGA CENTRAL,47,18410
MERU,IGEMBE CENTRAL,NJIA,47,21810
NAIROBI CITY,ROYSAMBU,ROYSAMBU,47,31158
KIAMBU,JUJA,THETA,47,31397
MERU,CENTRAL IMENTI,ABOTHUGUCHI CENTRAL,48,24397
WEST POKOT,KAPENGURIA,ENDUGH,48,8360
THARAKA - NITHI,THARAKA,GATUNGA,48,13891
MAKUENI,MBOONI,KALAWA,48,14166
TRANS NZOIA,KWANZA,KAPOMBOI,48,21873
KERICHO,KIPKELION EAST,KEDOWA/KIMUGUL,48,21798
KIAMBU,KIKUYU,KIKUYU,48,30130
TRANS NZOIA,KWANZA,KWANZA,48,21487
NAROK,NAROK SOUTH,MAJIMOTO/NAROOSURA,48,19825
NAIROBI CITY,WESTLANDS,MOUNTAIN VIEW,48,32259
KIAMBU,RUIRU,MWIKI,48,32582
ELGEYO/MARAKWET,MARAKWET EAST,SAMBIRIR,48,13394
MAKUENI,KAITI,UKIA,48,22344
WEST POKOT,SIGOR,WEIWEI,48,13920
BOMET,KONOIN,EMBOMOS,49,18390
UASIN GISHU,TURBO,HURUMA,49,31660
NAIROBI CITY,WESTLANDS,KANGEMI,49,32551
BOMET,SOTIK,KAPLETUNDO,49,20992
NAIROBI CITY,EMBAKASI SOUTH,KWA REUBEN,49,33591
KILIFI,RABAI,RABAI/KISURUTINI,49,27195
NYERI,NYERI TOWN,RWARE,49,29246
NAIROBI CITY,KIBRA,SARANGOMBE,49,32442
KITUI,KITUI SOUTH,ATHI,50,15843
NANDI,NANDI HILLS,CHEPKUNYUK,50,19848
NYERI,MATHIRA,KARATINA TOWN,50,26820
MAKUENI,MBOONI,KITETA/KISAU,50,20020
NAIROBI CITY,EMBAKASI CENTRAL,KOMAROCK,50,33127
KILIFI,MALINDI,MALINDI TOWN,50,30570
KWALE,MATUGA,MKONGANI,50,18778
LAIKIPIA,LAIKIPIA EAST,NANYUKI,50,29014
KILIFI,KILIFI SOUTH,SHIMO LA TEWA,50,32052
NAKURU,NAIVASHA,VIWANDANI,50,28900
BARINGO,MOGOTIO,EMINING,51,10844
KITUI,KITUI SOUTH,IKANGA/KYATUNE,51,15384
MAKUENI,KILOME,KASIKEU,51,23435
BARINGO,MOGOTIO,KISANANA,51,10436
TURKANA,TURKANA SOUTH,LOKICHAR,51,14467
MACHAKOS,MACHAKOS TOWN,MACHAKOS CENTRAL,51,28309
MOMBASA,MVITA,MAJENGO,51,31772
WEST POKOT,KAPENGURIA,MNAGEI,51,18201
NAIROBI CITY,STAREHE,NAIROBI SOUTH,51,33853
KAJIADO,KAJIADO NORTH,NKAIMURUNYA,51,33207
NAIROBI CITY,LANGATA,SOUTH C,51,33149
KWALE,MATUGA,TSIMBA GOLINI,51,20453
MERU,CENTRAL IMENTI,ABOTHUGUCHI WEST,52,24723
NAIROBI CITY,KASARANI,CLAY CITY,52,34387
NAIROBI CITY,DAGORETTI NORTH,GATINA,52,34831
KIAMBU,THIKA TOWN,HOSPITAL,52,33423
MACHAKOS,YATTA,IKOMBE,52,18283
NAKURU,BAHATI,KIAMAINA,52,28983
NAROK,KILGORIS,KILGORIS CENTRAL,52,18433
KISUMU,KISUMU CENTRAL,MARKET MILIMANI,52,29278
EMBU,MBEERE SOUTH,MAVURIA,52,20627
NAKURU,NAKURU TOWN EAST,NAKURU EAST,52,32572
NAROK,NAROK NORTH,NAROK TOWN,52,29452
NAKURU,KURESOI NORTH,NYOTA,52,23206
KAJIADO,KAJIADO NORTH,OLKERI,52,31549
KAJIADO,KAJIADO EAST,OLOOSIRKON/SHOLINKE,52,33748
KWALE,MSAMBWENI,RAMISI,52,23916
SIAYA,UGUNJA,UGUNJA,52,27082
NAIROBI CITY,ROYSAMBU,GITHURAI,53,35899
KILIFI,KALOLENI,KALOLENI,53,25995
NAIROBI CITY,LANGATA,KAREN,53,34450
MAKUENI,KIBWEZI WEST,MAKINDU,53,22953
KITUI,KITUI WEST,MUTONGUNI,53,17979
KAKAMEGA,LURAMBI,SHEYWE,53,30312
MOMBASA,LIKONI,TIMBWANI,53,33929
NAKURU,GILGIL,GILGIL,54,29198
MACHAKOS,MASINGA,KIVAA,54,18277
LAIKIPIA,LAIKIPIA WEST,MARMANET,54,26627
MOMBASA,JOMVU,MIKINDANI,54,32794
BARINGO,BARINGO SOUTH,MOCHONGOI,54,12938
NAKURU,MOLO,MOLO,54,27770
NAKURU,NAKURU TOWN EAST,BIASHARA,55,33057
NAIROBI CITY,MAKADARA,HARAMBEE,55,36498
NAKURU,SUBUKIA,KABAZI,55,20531
MURANG'A,GATANGA,KARIARA,55,26459
KIRINYAGA,NDIA,KIINE,55,27843
EMBU,MANYATTA,KIRIMARI,55,29617
KITUI,KITUI RURAL,KWAVONZA/YATTA,55,18020
MACHAKOS,MATUNGULU,MATUNGULU WEST,55,22817
NAIROBI CITY,WESTLANDS,PARKLANDS/HIGHRIDGE,55,37144
NAIROBI CITY,EMBAKASI SOUTH,PIPELINE,55,37900
KIAMBU,KIAMBU,TOWNSHIP,55,34538
NAIROBI CITY,EMBAKASI SOUTH,IMARA DAIMA,56,38096
KIRINYAGA,GICHUGU,KABARE,56,27559
NAIROBI CITY,DAGORETTI SOUTH,RIRUTA,56,37766
SIAYA,ALEGO USONGA,SOUTH EAST ALEGO,56,28845
BARINGO,BARINGO NORTH,BARWESSA,57,12693
THARAKA - NITHI,MAARA,CHOGORIA,57,21797
NAIROBI CITY,EMBAKASI WEST,KARIOBANGI SOUTH,57,38339
KITUI,MWINGI NORTH,TSEIKURU,57,16471
WEST POKOT,KACHELIBA,ALALE,58,11072
NAIROBI CITY,ROYSAMBU,KAHAWA WEST,58,38586
NAKURU,NAKURU TOWN WEST,KAPTEMBWO,58,37748
NAIROBI CITY,DAGORETTI NORTH,KILIMANI,58,38927
NAIROBI CITY,LANGATA,MUGUMU-INI,58,37864
NAIROBI CITY,EMBAKASI WEST,UMOJA I,58,40554
KIAMBU,RUIRU,BIASHARA,59,38706
NAIROBI CITY,EMBAKASI WEST,UMOJA II,59,39562
KIAMBU,JUJA,JUJA,60,36666
NAIROBI CITY,EMBAKASI CENTRAL,KAYOLE SOUTH,60,41154
KAJIADO,KAJIADO EAST,KITENGELA,60,38746
KITUI,MWINGI NORTH,MUMONI,60,15877
KIAMBU,GATUNDU SOUTH,NGENDA,60,32499
NAIROBI CITY,KASARANI,RUAI,60,37361
NAIROBI CITY,MAKADARA,MARINGO/HAMZA,61,39821
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,MAGUMONI,62,22846
THARAKA - NITHI,THARAKA,MARIMANTI,62,18564
BARINGO,MOGOTIO,MOGOTIO,62,17642
NAIROBI CITY,KAMUKUNJI,PUMWANI,62,39130
MERU,SOUTH IMENTI,NKUENE,63,30622
NAKURU,NJORO,NJORO,64,37896
WEST POKOT,POKOT SOUTH,CHEPARERIA,65,18494
WEST POKOT,POKOT SOUTH,LELAN,65,15095
BARINGO,BARINGO SOUTH,MARIGAT,65,15859
KAJIADO,KAJIADO WEST,KEEKONYOKIE,66,33307
EMBU,MBEERE NORTH,EVURORE,67,26393
NANDI,EMGWEN,KILIBWONI,67,28259
THARAKA - NITHI,THARAKA,CHIAKARIGA,68,18715
THARAKA - NITHI,CHUKA/IGAMBANG'OMBE,IGAMBANG'OMBE,69,16299
KITUI,MWINGI NORTH,KYUSO,69,19921
TURKANA,LOIMA,TURKWEL,69,19528
MACHAKOS,MAVOKO,ATHI RIVER,70,44603
NAIROBI CITY,EMBAKASI EAST,EMBAKASI,70,46291
